RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,SpecVal,Sex,TotalNo,CatIdentifier,NoMeas,SubFactor,SubWgt,CatCatchWgt,LngtCode,LngtClass,HLNoAtLngt,DevStage,LenMeasType,DateofCalculation,Valid_Aphia
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,26,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,27,2,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,28,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,30,2,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,32,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,33,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,45,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,47,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,38,2,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,39,2,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,40,3,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,41,4,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,42,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,M,23,1,NA,1,NA,1240,.,43,1,NA,NA,20210607,107254
